USAF,WBAN,Station_Name,CTRY,ST,Call,LAT,LON,ELEV,BEGIN,END
154620,99999,MEDGIDIA,RO,+44.250,+028.267,72.0,19730721.0,20250310.0,,
154630,99999,BOGUS,ROMANIAN,RO,+00.000,0.0,49.0,19840102.0,1997-12-31,
154640,99999,20010717,20020923,,,,,,,
154650,99999,BAILESTI,RO,+44.017,+023.333,58.0,19730721.0,20250310.0,,
154690,99999,CARACAL,RO,+44.100,+024.367,107.0,19730721.0,20250310.0,,
154700,99999,ROSIORII,DE,VEDE,RO,44.1,24.983,103.0,1966-05-06,2025-03-10
154740,99999,BOGUS,ROMANIAN,RO,+00.000,0.0,93.0,19890201.0,1997-12-22,
154750,99999,OLTENITA,RO,+44.067,+026.633,16.0,19831201.0,20250310.0,,
154760,99999,GREACA,RO,+44.117,+026.333,4.0,19841001.0,19971112.0,,
154770,99999,PLATFORMA,GLORIA,RO,+44.517,29.567,14.0,19830401.0,1997-12-31,
154790,99999,ADAMCLISI,RO,+44.083,+027.967,160.0,19730721.0,20250310.0,,
154800,99999,CONSTANTA,RO,+44.217,+028.650,14.0,19360101.0,20250310.0,,
154810,99999,MIHAIL,KOGALNICEANU,RO,LRCK,44.362,28.488,107.6,1973-06-20,2025-03-10
154820,99999,CALAFAT,RO,+43.983,+022.950,63.0,19730105.0,20250310.0,,
154830,99999,BOGUS,ROMANIAN,RO,19860301,20020924.0,,,,
154890,99999,ALEXANDRIA,RO,+43.983,+025.350,76.0,19730721.0,20250310.0,,
154900,99999,TURNU-MAGURELE,RO,+43.750,+024.883,31.0,19361201.0,20250310.0,,
154910,99999,GIURGIU,RO,+43.883,+025.950,24.0,19730115.0,20250310.0,,
154930,99999,TUZLA,RO,+44.000,+028.667,49.0,19730721.0,19900809.0,,
154931,99999,TUZLA,RO,LRTZ,+43.985,28.607,50.0,20110715.0,2024-03-18,
154940,99999,BECHET,RO,+43.783,+023.950,40.0,19740315.0,20250310.0,,
154950,99999,BOGUS,ROMANIAN,RO,19910201,20020813.0,,,,
154980,99999,ZIMNICEA,RO,+43.667,+025.350,34.0,19830401.0,20250310.0,,
154990,99999,MANGALIA,RO,+43.817,+028.583,9.0,19640101.0,20250310.0,,
155010,99999,NOVO,SELO,BU,+44.167,22.8,38.0,19530306.0,1997-12-27,
155020,99999,VIDIN,BU,+43.983,+022.850,595.0,19730314.0,20250310.0,,
155030,99999,GRAMADA,BU,+43.833,+022.667,253.0,19730305.0,19910707.0,,
155050,99999,VRATZA,BU,+43.200,+023.533,310.0,19730305.0,19971231.0,,
155070,99999,MONTANA,BU,+43.417,+023.217,204.0,20040916.0,20180716.0,,
155110,99999,LOM,BU,+43.817,+023.250,33.0,19520101.0,19971231.0,,
155140,99999,ORYAHOVO,BU,+43.683,+023.967,31.0,19660111.0,19971212.0,,
155200,99999,BOGUS,BULGARIAN,BU,19730305,20030904.0,,,,
155250,99999,LOVETCH,BU,+43.150,+024.700,221.0,19751101.0,20250310.0,,
155253,99999,GORNA,ORYAHOVITSA,BU,LBGO,43.151,25.713,86.9,1997-01-02,2025-03-10
155255,99999,GRAF,IGNATIEVO,BU,LBPG,42.29,24.73,196.0,2007-10-16,2025-03-10
155256,99999,BEZMER,AB,BU,LBIA,42.45,26.35,155.0,2008-07-21,2025-03-10
155257,99999,BALCHICK,AB,BU,LBWB,43.417,28.183,201.0,2008-07-22,2025-03-10
155260,99999,PLEVEN,BU,+43.417,+024.600,71.0,19520803.0,19971231.0,,
155280,99999,PLEVEN,BU,+43.400,+024.600,160.0,20010915.0,20180716.0,,
155300,99999,VELIKO,TARNOVO,BU,+43.083,25.65,218.0,19360701.0,1997-12-31,
155330,99999,SVICHTOV,BU,+43.617,+025.350,26.0,19530301.0,19971231.0,,
155350,99999,ROUSSE/RUSE,BG,LBRS,+43.695,26.057,186.0,19360701.0,1997-12-31,
155380,99999,BOGUS,BULGARIAN,BU,19730305,20020518.0,,,,
155440,99999,SHUMEN,BU,+43.267,+026.933,220.0,19650701.0,19901130.0,,
155460,99999,SAMOUIL,BU,+43.517,+026.750,475.0,19730305.0,19801004.0,,
155470,99999,BOGUS,BULGARIAN,BU,19860504,19900210.0,,,,
155490,99999,RAZGRAD,BU,+43.567,+026.500,347.0,19810101.0,20250310.0,,
155500,99999,SILISTRA,BU,+44.117,+027.267,16.0,19530801.0,19971231.0,,
155520,99999,VARNA,BU,LBWN,+43.232,27.825,70.1,19360102.0,2025-03-10,
155560,99999,LJUBEN,KARAVELOVO,BU,+43.233,27.817,62.0,19730101.0,1975-05-14,
155561,99999,BALGAREVO,BU,+43.383,+028.383,83.0,19750515.0,19900125.0,,
155610,99999,SHABLA,BU,+43.533,+028.533,28.0,19750401.0,19971231.0,,
155620,99999,KALIAKPA,BU,+43.367,+028.467,64.0,19730305.0,19971231.0,,
155750,99999,BOGUS,BULGARIAN,BU,19751101,19900220.0,,,,
